area,perimeter,circularity,aspect_ratio,extent,solidity,eccentricity,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,mean_R,mean_G,mean_B,mean_H,mean_S,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity
42465.0,823.8376562595367,0.7862446703112457,1.2264150943396226,0.7704100145137881,0.9831567980552179,0.5914505939807541,0.7871125236093613,2.9052254585533173,5.054500487962604,7.106994154362893,-13.271755813311477,-8.633999920083017,13.434596401183594,193.60638096141085,101.49611263866502,48.12370816345881,11.476083246420783,193.19353844695175,298.46513629842184,0.8734273853912411,0.02578983054799706,0.27200889106887083
50043.5,1382.3889511823654,0.3290766232530246,0.9792387543252595,0.6118759705087605,0.7667151830856442,0.32882299536743587,0.7613210676168259,3.3087889587751125,3.8298510853121943,4.440726365363296,8.597894107582855,6.148022570354908,9.085226010734818,156.63368875964295,104.25826972010178,45.76442909649017,24.917625913809122,190.26856900521022,137.98860625331213,0.9521883217476548,0.018164783227417793,0.20637610559517017
77733.0,1049.460019826889,0.8869180557884784,1.022508038585209,0.7859916277376691,0.992923473884553,0.19338561761963377,0.7978124708489659,4.816706598737575,6.370150089924681,9.194872912384206,16.9821920458449,-12.267139202035718,-17.807195330055272,210.73510337492542,126.30318555604555,46.17189810371216,14.659602064904407,201.06458014475083,69.7096217234343,0.9475935780677138,0.024235691710193435,0.20998158816417545
45250.5,1575.761534690857,0.2290088451126577,0.9846153846153847,0.6798452524038462,0.7975834809507443,0.4491546303007603,0.6879180991370687,3.8778009500143775,4.065416879417816,3.74152433174234,8.170276080368819,6.060784881491803,-7.665238079353124,234.33699106142697,181.23423176279636,124.58772832224585,14.555426011018907,121.60839448597491,110.87083640044168,0.9703104288761414,0.18307387514502002,0.4213001061762966
42158.5,1195.7615327835083,0.37051505386861633,1.0869565217391304,0.6059432267337406,0.8344417394058151,0.6927191602378108,0.7424319692526561,2.530361611770346,3.2447948769006905,3.709372844565724,7.208091349577529,5.017554142365127,-7.6979865013529984,207.25303614802115,131.78527884935943,51.86300423870077,15.237629185121683,185.9062246987665,262.3964551337777,0.906798109305431,0.03823411173062801,0.2328290469341858
35123.5,1042.0802943706512,0.4064482735232038,0.9906103286384976,0.7815121375965112,0.9097584666191803,0.32029962619200647,0.7703278504592036,4.7660521233606445,3.477157163533369,4.79305106512498,-9.046002910415883,7.222286893412081,-9.117137225292401,207.8121097009986,149.17704106592996,58.97312152867708,17.34176523065412,183.27528849751073,269.55265911072365,0.8632333788042176,0.02843945228823275,0.269492001107289
66678.5,2165.2316623926163,0.17872567543090415,1.3185185185185184,0.6937005826050769,0.8648145626219983,0.6980339779734558,0.749482475307344,2.565303029770842,4.815083779806034,4.985136744266074,-10.018527099257646,6.3014525071691505,-10.054483690635857,205.79103263470188,168.99893131719145,96.6803043353431,21.626056719941303,144.0188534788018,133.5363855421687,0.9691013293185078,0.14734435646233723,0.33378665530519297
41001.0,801.622364282608,0.80179743615623,1.0380952380952382,0.8956094364351245,0.9880592339112937,0.29958854891935344,0.7889383323584416,4.351710953703068,7.898677647068855,10.946281488982429,20.48176730807224,-13.406609729026524,-20.564645199758413,227.4202005557569,167.6318231243204,102.2466835810076,14.605533405823365,145.77854295034433,313.964029654197,0.9287095860960802,0.1653334329055347,0.3232322180917734
38527.5,1387.418387889862,0.25151610625316706,1.0,0.7158052170035671,0.8397266842483817,0.5334280903798111,0.7610709770173786,3.010931108742292,4.457620013110806,5.071974519624568,-9.847627292715554,6.747366731192578,10.492729035538797,186.01460531869986,131.0191642043056,52.717883776558324,19.90786548473336,182.51355002110594,348.8485607008761,0.7990881942009452,0.020419007031512438,0.18058239276667767
58999.0,1201.8031650781631,0.5133195770987696,1.1213235294117647,0.7111740597878495,0.9407553277152811,0.5669671500815455,0.7610805378396706,2.595643191908128,3.3742966021078855,4.421526640318236,8.334589627101712,5.733886801619665,8.905121166260315,173.77090070157521,82.49437416085172,32.36667233978177,12.927913617367295,198.41653902157674,172.81747490998237,0.9398454234658226,0.044535921805061246,0.2033581469069059
65780.0,1231.0193333625793,0.5454739134360741,1.1382113821138211,0.9549941927990708,0.9715176085720404,0.6899396999084916,0.7708813049238583,3.1502738612295813,4.95589524721073,6.5451811074231685,-12.750266831679888,8.21434610013126,12.324289691197334,220.02293946701295,173.57322389167132,116.79855314412912,15.018997712236445,127.39453100847092,94.95840465593974,0.980483471894658,0.246617810542021,0.3995916552579289
