area,perimeter,circularity,aspect_ratio,extent,solidity,eccentricity,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,mean_R,mean_G,mean_B,mean_H,mean_S,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity
43887.0,798.5239470005035,0.8649079103343497,1.2149532710280373,0.7887670740474478,0.985427519310221,0.5650885891183025,0.788914602711612,2.981244019413495,5.2662279062813235,7.295486355153664,-13.629996229534822,-8.839263584323954,-13.906198973434726,195.00755092351864,105.78147536906835,54.40831505889268,12.712477109850111,186.33350665792508,296.9979038505354,0.8942345804160294,0.024695586539983105,0.26510119943314137
43141.0,990.8082177639008,0.5522311135764396,1.0038610038610039,0.6406444906444907,0.8755860445292363,0.5206124932926832,0.7879914390878173,3.730849433174903,4.550083363053516,6.266785051953814,11.831493622838765,-8.470584684490952,-11.820123708042244,170.24759631932812,102.59978429977743,42.50492209550472,20.748869868514653,202.71064044608642,155.12943608324042,0.9571628368055605,0.01711933819077663,0.1890590229006902
73865.0,1049.6021580696106,0.84255669957125,1.1076388888888888,0.8039990421455939,0.9858854149287597,0.399037266103307,0.7951873200222527,3.6710758240029637,5.305472299675842,7.181029285179758,-13.43290362565984,-9.017110326004376,-14.129111746370524,211.85179304312723,126.23835026576062,44.67291932987957,14.664818677252239,203.40967503195856,71.28733449099197,0.9480479673697118,0.0244189605006452,0.21030333230982726
41487.5,798.9087237119675,0.8168321114597639,1.1318181818181818,0.7573475721066083,0.9744568408690546,0.5165820355351308,0.7898625523224435,3.3267770757768256,3.933500564272518,5.92622707271865,10.857403015680456,7.598425692699094,11.966136264138989,217.62692739834094,140.43649446582677,57.14802419258445,15.757954626951305,190.04326934570057,76.70218777166039,0.9477966385325379,0.0246101085596588,0.2113696279768148
39553.5,782.1147867441177,0.8125569134101969,0.9908256880733946,0.8399910805300713,0.9799566429235057,0.4939296804134601,0.7887931862606267,4.125365164733688,3.8827942865544154,5.873306017127337,-10.855673998633872,8.181071767423516,10.960628870213517,211.84761689971435,122.36801483486194,42.02919360497169,16.010499674234453,207.0298200771814,58.67453428759962,0.9771537353091296,0.022957844467675785,0.24886578165592155
30770.5,658.198046207428,0.8925472982559342,1.0307692307692307,0.785061870136497,0.9889917397872272,0.2883992967182655,0.7975923894902672,4.390801790901786,5.769868287632374,8.82508876673188,-16.214246453624163,-11.037755939141368,16.354038326369036,210.69533715463385,148.0352933599536,47.46013396019836,18.24644168223095,199.55261802022284,269.36733766233766,0.8707458895335762,0.027652999765297885,0.24743278457632195
29724.5,651.5706286430359,0.8798353842151603,1.0588235294117647,0.8028007346189164,0.9887896478884952,0.41942878953061125,0.7962168733969077,3.754207554628579,5.997639417764839,8.912900328757955,-16.435310444813936,-10.790746743946459,16.655761747138037,220.58754332178086,140.06828179152225,51.93591708877632,15.757831245001332,196.42521994134896,100.29718376125821,0.8963407374149832,0.025529567741120692,0.18930120435291214
45578.0,1003.5777769088745,0.5686735861119132,1.0614754098360655,0.7212165326919425,0.8744819646968535,0.5435329382646695,0.7714875248714315,2.931922149562554,4.909259563873842,5.150592070084319,10.189132154014791,6.696513248820245,10.88557877672833,192.67994604120886,143.18154522312398,49.745044711820896,23.535823850655994,193.96212005831032,71.01439164582511,0.9696533740695831,0.022528393544230436,0.22789096870427222
56765.0,961.8620401620865,0.771018741706103,1.1162790697674418,0.7639561800172265,0.9705741544985125,0.5695472455073451,0.7861124883048323,3.0371546785746406,4.018510886211103,5.569182750107237,10.363088477576069,7.08776326505876,12.146344213366557,191.28568180625754,96.92834782000385,40.50957519368999,13.885045208905368,204.21562111964184,156.61984459055589,0.9472439686297014,0.017070661864337193,0.16216577336788465
25090.5,645.2274825572968,0.757344481888182,1.053763440860215,0.6882406188281764,0.9472939044418854,0.5754241819788207,0.7810688711245671,2.9448559577983455,3.9650170630246997,5.632901740120544,10.610136258810266,7.30738909630056,-10.557765984699614,212.21158849034293,129.59893575088688,48.838588884509264,14.728104059913283,198.67666535277888,336.11874054613486,0.8406440946409368,0.020319674431513595,0.1735723938913432
