area,perimeter,circularity,hu_moment_0,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,mean_R,mean_G,mean_B,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity
47191.5,1254.031524181366,0.3771001782713504,0.7592448113483445,2.641990308284326,4.518818110702578,6.787821702540125,12.537973821952434,8.75059051640377,-12.663128739138322,124.79435565038851,99.00044285196667,64.20882483191755,179.9243719362745,0.9610958594239551,0.2394860182474024,0.5022991646146638
53896.5,1324.0559108257294,0.38632941684191685,0.7625952733211628,3.410634752097009,3.9633601845149844,5.582083811073013,10.375968238215709,-7.373358707090239,-10.870895493461434,121.49523987655476,100.20707004582437,63.32329561395306,194.65415134803925,0.9578819054950838,0.182140005484615,0.4894431580874192
54142.0,1108.7350618839264,0.5534630032789792,0.7616256555911197,2.9683534165634113,4.737700842291763,5.568706647857374,-11.169190138159015,-7.10191271410406,10.751522584701211,124.11564249926319,105.83722001178897,71.85346669613911,102.21655943627451,0.976077308470247,0.17259283818377422,0.479154681735806
44768.0,1378.4995609521866,0.2960494731809184,0.7022403663490706,2.3774611847752554,2.5964897333910817,4.009515511414641,7.661992147833544,-5.639114186652726,7.360975887446402,118.32135094874111,95.68792888715231,63.89523553688735,202.0447763480392,0.9628602861368586,0.36978687528116966,0.6153512086696838
40624.5,1596.6833264827728,0.20024436910052884,0.6917810616399248,2.2264329962650953,3.9503062308400527,3.8662176784866915,7.860952845027874,-5.31596325093423,8.016219672479036,118.69656721053009,93.16344568930508,55.78454886409785,260.5308057598039,0.9508761450151972,0.35629546291186504,0.5771608618700775
52322.5,1460.801077246666,0.3081173753765285,0.7212018931631696,2.975293932799771,3.0551552324320634,4.272899155393976,7.995888644078095,5.868118935421173,8.248830786983138,119.33922025991336,86.45124541819393,57.99887537487504,241.13841911764712,0.9447874790413217,0.2633813470752122,0.5415068274712445
14455.0,837.553382396698,0.258942279221984,0.5142421618032605,1.3249549882729907,2.105602669731071,2.7675623327529526,5.235789174447896,3.4655621235154923,5.638004027997905,126.7516055148875,107.74513854583014,86.0630978578165,371.70326286764714,0.9425203883476937,0.6519775247203194,0.7218836419162966
38503.0,1240.9259667396545,0.3142047082790984,0.6931214513102003,3.0888280636183505,2.3188539931339065,4.063901670933612,7.450268917855799,5.676964583562467,-7.36889872942974,116.11932007270306,104.88236950567033,83.76471341166832,247.6694546568628,0.9641626217784929,0.39862476346536124,0.5756671321619459
46940.0,1489.2691122293472,0.26595403566136966,0.6875552017055444,2.572598286700714,3.5873656890093484,3.6400502266655703,7.822863524018608,-5.181812695407848,-7.2701580502070335,109.93384262796027,88.92349667139584,55.7517625231911,217.47879901960786,0.9553860216274811,0.29812407648564077,0.534860215733404
49632.5,1398.6833287477493,0.31881387826805385,0.7425136818380554,3.0123472028261467,2.9536159858679705,4.949783512317658,8.902493777239592,7.121737624801332,-10.068093920771751,126.33146893116681,94.44304727688413,53.91265207805993,279.1866421568627,0.9457794338810768,0.2464395011793131,0.5390765029140356
45524.0,1416.6173127889633,0.285065846840666,0.580662949658586,2.5140940995679903,2.7804907931917215,3.3465674444775297,-7.509527709673545,-4.831874179721595,-6.411474627218549,81.14911086441991,78.0819596590076,70.58341536979242,137.56317401960786,0.9581757724644898,0.26995635709652677,0.6049750128844825
60519.0,1057.4802292585373,0.6800754447895447,0.779951588775585,4.861606670147529,4.111386033057734,6.146550352188607,-11.601650627391512,8.818755528992813,11.330226448297232,99.0923185795162,89.88154057299708,85.93894750386,209.31688112745098,0.9558751794622472,0.2842757649901401,0.5759405912065736
36341.5,1307.3452332019806,0.2671973443998139,0.5443110611800733,1.8988730785890406,2.304252467617789,2.7717877558424693,5.315554494331758,4.07908017755914,6.1013455067385785,87.64532270148774,78.25238146205716,61.21633843519212,155.2524050245098,0.9604522565371286,0.426599350363099,0.6699013699667382
47131.5,1734.0802947282791,0.19696212424639303,0.5947012254052764,2.802188977676568,3.2206194078724497,3.4016481895552446,-6.719480966668857,-4.803464897812382,7.471495735669514,76.16758732225746,80.84243137090169,94.96773854781459,143.96594669117647,0.9600864286060888,0.27132320443560665,0.5256147764436844
23906.0,968.2741646766663,0.32042035017985476,0.6147235180715057,1.7009287724550168,2.118780123488793,2.838425578679904,5.343695038854737,3.776291855124524,-5.785618563082447,89.75336689999591,84.64112325514758,76.92848663473741,93.77432598039216,0.9748699889644108,0.6243204491839871,0.7298525229270646
32575.5,1130.8010765314102,0.32013158723054613,0.6422137261411236,1.808383047976566,2.5466442052046125,3.45478423219862,6.695467410984639,4.661112311509553,6.542843324534075,69.98593327321912,74.3248572287346,91.65978358881875,93.55131740196077,0.9719749035431355,0.4894238216713978,0.6755476504852105
31987.5,1058.8010766506195,0.3585596493082008,0.6862889127432907,2.085324323863635,2.527183906520165,3.595284553957767,6.714880515043203,4.820218649477549,-6.970359550735715,98.40847654577702,93.97269280166351,86.01721607241149,128.9982843137255,0.9744572336202959,0.49783727908226794,0.6748440723830121
55073.5,1090.4924206733704,0.5819788990073622,0.7483056100263292,2.7541413137634554,3.259728126506695,4.78675318717446,9.1885084946177,-6.641032336208545,8.851759727241069,97.05673449244551,90.56210614228229,71.8217485384557,111.2753829656863,0.9682863964820224,0.19504562366927783,0.5307663317434245
40092.0,1090.1320303678513,0.4239448706663814,0.7227628671315427,2.223079176068665,3.2861410707725036,4.902589101395714,9.234877526810175,6.157172196020736,-9.085319163769526,101.74887803915766,97.70959708043596,77.75511663461064,108.10405943627451,0.9802960205115496,0.3797354562158258,0.6355785585822745
34318.5,863.3208483457565,0.5786203501085455,0.679754429615568,1.8747179106956853,3.4216484959750173,4.905131542125009,-9.118897624590113,-6.15246760342545,9.41048790706156,83.0658014571949,81.58350409836065,71.27348019125684,59.04836090686275,0.9843484696872916,0.46289438975252156,0.7327270012399009
40340.5,1247.4284932613373,0.3257765510489955,0.6515180476700444,2.0146076505217656,2.351145216325199,3.633902573468799,-6.775520165964894,-4.707393689948098,-6.778372130634416,85.08985224081084,80.31901331053854,72.30868237880084,121.61813725490197,0.9681405200790251,0.3722585003974553,0.6534946463352964
31538.5,1240.2569196224213,0.25764847758794784,0.6888470586682316,3.1324041511643452,2.4893714071829005,3.8372583045290076,-7.026556044938494,-6.352844934607832,7.474468552519012,154.01377672209026,149.29564528899445,146.24145684877277,361.60445772058824,0.9705568175203967,0.5133391333363652,0.6557269111060596
7945.0,599.5391039848328,0.2777593815515776,0.18130512587926595,0.3966828463035335,1.7773882242319898,1.8197974770190277,3.618415959538115,2.0181399299981564,-5.582389955658131,98.54061263121666,84.77370504216142,57.17363620719326,114.7538756127451,0.9599734093033302,0.8198504120391277,0.8744148327688372
53520.5,1098.5512964725494,0.5573003863755658,0.7354729984862186,2.5593120072107656,2.956983494735635,4.636555572754173,-8.727161999997437,-6.017593449451874,-8.498246118022736,92.58508158508158,78.36868686868686,53.68374218374218,62.21683517156862,0.9805122329749915,0.1810146129400095,0.6846528435518378
31720.5,815.8061290979385,0.5989298532373153,0.6980482040587332,1.9398865902119546,3.2802717747803567,4.458444735765982,8.730838192898695,6.544753432249002,8.364706245031494,100.9748806053464,90.41425293059605,61.97844693915525,64.5974724264706,0.9873303270994829,0.5067070541073636,0.7777835326404212
14537.5,701.9238796234131,0.37078278043430046,0.4233425948370626,0.9517702331059033,2.3912052196497537,2.667161004540648,5.1963781555509145,3.1430513062551784,7.098750439080753,74.25491883915396,74.37549188391539,75.13225528775209,97.76663602941179,0.9643507169248634,0.7504877595459734,0.7954986854618384
